#GLoBES upto 10GeV
#log10E	nue/E	numu/E	numtau/E	nuebar/E	numubar/E	nutaubar/E
-0.18	0.3366259814	0.3366259814	0.3366259814	0.1029788132	0.1029788132	0.1029788132
-0.176	0.3363342994	0.3363342994	0.3363342994	0.1034748834	0.1034748834	0.1034748834
-0.172	0.3360399186	0.3360399186	0.3360399186	0.1039755437	0.1039755437	0.1039755437
-0.168	0.3357428139	0.3357428139	0.3357428139	0.1044808366	0.1044808366	0.1044808366
-0.164	0.33544296	0.33544296	0.33544296	0.1049908049	0.1049908049	0.1049908049
-0.16	0.3351403317	0.3351403317	0.3351403317	0.1055054919	0.1055054919	0.1055054919
-0.156	0.3348349032	0.3348349032	0.3348349032	0.1060249412	0.1060249412	0.1060249412
-0.152	0.3344749997	0.3344749997	0.3344749997	0.1064941237	0.1064941237	0.1064941237
-0.148	0.3341002674	0.3341002674	0.3341002674	0.1069553865	0.1069553865	0.1069553865
-0.144	0.3337220677	0.3337220677	0.3337220677	0.1074209173	0.1074209173	0.1074209173
-0.14	0.3333403686	0.3333403686	0.3333403686	0.1078907556	0.1078907556	0.1078907556
-0.136	0.3329551377	0.3329551377	0.3329551377	0.1083649413	0.1083649413	0.1083649413
-0.132	0.3325663423	0.3325663423	0.3325663423	0.1088435146	0.1088435146	0.1088435146
-0.128	0.3321739494	0.3321739494	0.3321739494	0.109326516	0.109326516	0.109326516
-0.124	0.3317558434	0.3317558434	0.3317558434	0.1097935269	0.1097935269	0.1097935269
-0.12	0.3312885873	0.3312885873	0.3312885873	0.1102229047	0.1102229047	0.1102229047
-0.116	0.3308170077	0.3308170077	0.3308170077	0.1106562555	0.1106562555	0.1106562555
-0.112	0.3303410646	0.3303410646	0.3303410646	0.111093616	0.111093616	0.111093616
-0.108	0.3298607177	0.3298607177	0.3298607177	0.1115350234	0.1115350234	0.1115350234
-0.104	0.3293759262	0.3293759262	0.3293759262	0.111980515	0.111980515	0.111980515
-0.1	0.328886649	0.328886649	0.328886649	0.1124301288	0.1124301288	0.1124301288
-0.096	0.328391031	0.328391031	0.328391031	0.1128669596	0.1128669596	0.1128669596
-0.092	0.3278870005	0.3278870005	0.3278870005	0.1132720818	0.1132720818	0.1132720818
-0.088	0.3273783063	0.3273783063	0.3273783063	0.1136809525	0.1136809525	0.1136809525
-0.084	0.3268649052	0.3268649052	0.3268649052	0.1140936065	0.1140936065	0.1140936065
-0.08	0.3263467537	0.3263467537	0.3263467537	0.1145100788	0.1145100788	0.1145100788
-0.076	0.3258238077	0.3258238077	0.3258238077	0.1149304046	0.1149304046	0.1149304046
-0.072	0.325296023	0.325296023	0.325296023	0.1153546196	0.1153546196	0.1153546196
-0.068	0.3247762232	0.3247762232	0.3247762232	0.1157522368	0.1157522368	0.1157522368
-0.064	0.3242561298	0.3242561298	0.3242561298	0.1161428214	0.1161428214	0.1161428214
-0.06	0.323731224	0.323731224	0.323731224	0.1165370201	0.1165370201	0.1165370201
-0.056	0.3232014613	0.3232014613	0.3232014613	0.1169348662	0.1169348662	0.1169348662
-0.052	0.3226667968	0.3226667968	0.3226667968	0.1173363935	0.1173363935	0.1173363935
-0.048	0.3221271851	0.3221271851	0.3221271851	0.1177416362	0.1177416362	0.1177416362
-0.044	0.3215846157	0.3215846157	0.3215846157	0.1181302493	0.1181302493	0.1181302493
-0.04	0.3210387966	0.3210387966	0.3210387966	0.1185047297	0.1185047297	0.1185047297
-0.036	0.320487927	0.320487927	0.320487927	0.1188826751	0.1188826751	0.1188826751
-0.032	0.3199319603	0.3199319603	0.3199319603	0.1192641177	0.1192641177	0.1192641177
-0.028	0.3193708494	0.3193708494	0.3193708494	0.1196490897	0.1196490897	0.1196490897
-0.024	0.3188045465	0.3188045465	0.3188045465	0.1200376237	0.1200376237	0.1200376237
-0.02	0.3182566247	0.3182566247	0.3182566247	0.1203996902	0.1203996902	0.1203996902
-0.016	0.3177155184	0.3177155184	0.3177155184	0.1207499803	0.1207499803	0.1207499803
-0.012	0.3171694052	0.3171694052	0.3171694052	0.1211035116	0.1211035116	0.1211035116
-0.008	0.316618239	0.316618239	0.316618239	0.1214603141	0.1214603141	0.1214603141
-0.004	0.3160619728	0.3160619728	0.3160619728	0.1218204181	0.1218204181	0.1218204181
0	0.3155029733	0.3155029733	0.3155029733	0.1221800495	0.1221800495	0.1221800495
0.004	0.3149611808	0.3149611808	0.3149611808	0.1225077338	0.1225077338	0.1225077338
0.008	0.3144143752	0.3144143752	0.3144143752	0.1228384502	0.1228384502	0.1228384502
0.012	0.31386251	0.31386251	0.31386251	0.1231722267	0.1231722267	0.1231722267
0.016	0.3133055384	0.3133055384	0.3133055384	0.1235090915	0.1235090915	0.1235090915
0.02	0.3127434133	0.3127434133	0.3127434133	0.1238490733	0.1238490733	0.1238490733
0.024	0.312204553	0.312204553	0.312204553	0.1241736441	0.1241736441	0.1241736441
0.028	0.3116678136	0.3116678136	0.3116678136	0.1244965851	0.1244965851	0.1244965851
0.032	0.3111261077	0.3111261077	0.3111261077	0.1248225142	0.1248225142	0.1248225142
0.036	0.3105793896	0.3105793896	0.3105793896	0.1251514592	0.1251514592	0.1251514592
0.04	0.3100276127	0.3100276127	0.3100276127	0.1254834478	0.1254834478	0.1254834478
0.044	0.3094960344	0.3094960344	0.3094960344	0.1258130547	0.1258130547	0.1258130547
0.048	0.3089679852	0.3089679852	0.3089679852	0.1261438908	0.1261438908	0.1261438908
0.052	0.3084350499	0.3084350499	0.3084350499	0.1264777882	0.1264777882	0.1264777882
0.056	0.3078971835	0.3078971835	0.3078971835	0.126814775	0.126814775	0.126814775
0.06	0.3073543402	0.3073543402	0.3073543402	0.1271548799	0.1271548799	0.1271548799
0.064	0.3068239841	0.3068239841	0.3068239841	0.1274770861	0.1274770861	0.1274770861
0.068	0.3062901528	0.3062901528	0.3062901528	0.1278005523	0.1278005523	0.1278005523
0.072	0.3057513819	0.3057513819	0.3057513819	0.1281270115	0.1281270115	0.1281270115
0.076	0.3052076259	0.3052076259	0.3052076259	0.1284564915	0.1284564915	0.1284564915
